sentence,Ausschreibungskriterium,Kategorie Kriterium
"Sie verwenden Öle, Gewürze, Streusalze, Zucker, Backwaren, wie auch weitere Basisprodukte 
und Nahrungsmittel für die Zwischenmahlzeiten zu 50% (an Kosten gemessen) in der Qualität 
«Bio» und (bei Produkten aus der 3. Welt) mit dem Gütesiegel «Max Havelaar».","['Mindestens 10% des Gesamtgewichts aller Lebensmittel stammen aus dem Biolandbau und haben ein Biolabel, das in offiziellen Leitfäden empfohlen wird.']",['TS']
"Sie verwenden Milch und Milchprodukte zu 90% (gemessen an den Kosten) aus Schweizer 
Produktion in der Qualität «Bio».","['Mindestens 10% des Gesamtgewichts aller Lebensmittel stammen aus dem Biolandbau und haben ein Biolabel, das in offiziellen Leitfäden empfohlen wird.', '100 % des Gesamtgewichts der gekauften Milch müssen mindestens dem von der Schweizerischen Branchenorganisation Milch definierten Standard “ Grüner Teppich/Swissmilk green” oder einem gleichwertigen Standard entsprechen, und mindestens X % des Gesamtgewichts müssen dem Standard “IP- Suisse” oder einem gleichwertigen Standard entsprechen.', 'Mindestens X% des Gesamtgewichtes aller landwirtschaftlichen Rohstoffe sind schweizerischen Ursprungs oder erfüllen mindestens den vom Bund definierten ökologischen Leistungsnachweis (ÖLN) (nicht anwendbar bei Ausschreibungen, die unter internationale Abkommen fallen). Bei zusammengesetzten Produkten: Hauptzutaten.']","['TS', 'ZK', nan]"
"Sie produzieren Sättigungsbeilagen zu 80% (in 8 von 10 Mahlzeiten) in der Qualität «Bio» und 
verwenden (bei Produkten aus der 3 Welt) Produkte mit dem Gütesiegel «Max Havelaar». 
Kartoffeln verwenden Sie ausschliesslich in der Qualität «Bio Suisse» aus der Region (35km 
von Biel).","['Mindestens 10% des Gesamtgewichts aller Lebensmittel stammen aus dem Biolandbau und haben ein Biolabel, das in offiziellen Leitfäden empfohlen wird.']",['TS']
"Kartoffeln verwenden Sie ausschliesslich in der Qualität «Bio Suisse» aus der Region (35km 
von Biel).","['Mindestens X% des Gesamtgewichtes aller landwirtschaftlichen Rohstoffe sind schweizerischen Ursprungs oder erfüllen mindestens den vom Bund definierten ökologischen Leistungsnachweis (ÖLN) (nicht anwendbar bei Ausschreibungen, die unter internationale Abkommen fallen). Bei zusammengesetzten Produkten: Hauptzutaten.']",[nan]
"Früchte verarbeiten und liefern Sie zu 80% (gemessen an den Kosten) in Qualität «Bio Suis-
se» (Siehe Ausnahmen unter g).","['Mindestens X% des Gesamtgewichtes aller landwirtschaftlichen Rohstoffe sind schweizerischen Ursprungs oder erfüllen mindestens den vom Bund definierten ökologischen Leistungsnachweis (ÖLN) (nicht anwendbar bei Ausschreibungen, die unter internationale Abkommen fallen). Bei zusammengesetzten Produkten: Hauptzutaten.', 'Mindestens 10% des Gesamtgewichts aller Lebensmittel stammen aus dem Biolandbau und haben ein Biolabel, das in offiziellen Leitfäden empfohlen wird.']","[nan, 'TS']"
"Fruchtsäfte verarbeiten und liefern Sie zu 80% (gemessen an den Kosten) in der Qualität 
«Bio»","['Mindestens 10% des Gesamtgewichts aller Lebensmittel stammen aus dem Biolandbau und haben ein Biolabel, das in offiziellen Leitfäden empfohlen wird.']",['TS']
"Sie liefern und verarbeiten zu 80% Früchte (gemessen an den Kosten) aus der Region (35km 
von Biel).","['Mindestens X% des Gesamtgewichtes aller landwirtschaftlichen Rohstoffe sind schweizerischen Ursprungs oder erfüllen mindestens den vom Bund definierten ökologischen Leistungsnachweis (ÖLN) (nicht anwendbar bei Ausschreibungen, die unter internationale Abkommen fallen). Bei zusammengesetzten Produkten: Hauptzutaten.']",[nan]
"Ausnahmen: Bananen, Mandarinen, Clementinen, Orangen: Diese sollen zu 70% (Gemessen 
an den Kosten) aus fairem Handel (Label Max Havelaar oder vergleichbar) und wenn möglich 
aus biologischer Produktion stammen.","['Mindestens X% des Gesamtgewichts der exotischen Produkte (1) (insbesondere Kaffee, Kakao, Schokolade, exotische Früchte und Fruchtsäfte) haben ein Label, das in offiziellen Leitfäden empfohlen wird.']",['ZK']
Sie verwenden zu 70% Gemüse (gemessen an den Kosten) in der Qualität «Bio Suisse».,"['Mindestens 10% des Gesamtgewichts aller Lebensmittel stammen aus dem Biolandbau und haben ein Biolabel, das in offiziellen Leitfäden empfohlen wird.', 'Mindestens X% des Gesamtgewichtes aller landwirtschaftlichen Rohstoffe sind schweizerischen Ursprungs oder erfüllen mindestens den vom Bund definierten ökologischen Leistungsnachweis (ÖLN) (nicht anwendbar bei Ausschreibungen, die unter internationale Abkommen fallen). Bei zusammengesetzten Produkten: Hauptzutaten.']","['TS', nan]"
Sie verwenden zu 70% Gemüse (gemessen an den Kosten) aus der Region (35km von Biel).,"['Mindestens X% des Gesamtgewichtes aller landwirtschaftlichen Rohstoffe sind schweizerischen Ursprungs oder erfüllen mindestens den vom Bund definierten ökologischen Leistungsnachweis (ÖLN) (nicht anwendbar bei Ausschreibungen, die unter internationale Abkommen fallen). Bei zusammengesetzten Produkten: Hauptzutaten.']",[nan]
Sie verwenden Salat ausschliesslich in der Qualität «Bio Suisse».,"['Mindestens 10% des Gesamtgewichts aller Lebensmittel stammen aus dem Biolandbau und haben ein Biolabel, das in offiziellen Leitfäden empfohlen wird.']",['TS']
Sie verwenden zu 70% Salat (gemessen an den Kosten) aus der Region (35km von Biel).,"['Mindestens X% des Gesamtgewichtes aller landwirtschaftlichen Rohstoffe sind schweizerischen Ursprungs oder erfüllen mindestens den vom Bund definierten ökologischen Leistungsnachweis (ÖLN) (nicht anwendbar bei Ausschreibungen, die unter internationale Abkommen fallen). Bei zusammengesetzten Produkten: Hauptzutaten.']",[nan]
"Fleisch/Geflügel in der Qualität «IP» oder «Bio Suisse» aus der Region (35km von 
Biel)","['Mindestens X% des Gesamtgewichts des Kaninchenfleischs kommen aus BTS-Haltung oder gleichwertigen Haltungen. 100% entsprechen mindestens den vom Bund definierten Kriterien für den ökologischen Leistungsnachweis (ÖLN) oder gleichwertigen Nachweisen.', 'Mindestens X% des Gesamtgewichts von Rind- und Kalbfleisch kommen aus BTS- und RAUS-Haltung oder gleichwertigen Haltungsbedingungen. 100% entsprechen mindestens den vom Bund definierten Kriterien für den ökologischen Leistungsnachweis (ÖLN) oder gleichwertigen Nachweisen.', 'Mindestens 10% des Gesamtgewichts aller Lebensmittel stammen aus dem Biolandbau und haben ein Biolabel, das in offiziellen Leitfäden empfohlen wird.', 'Mindestens X% des Gesamtgewichtes aller landwirtschaftlichen Rohstoffe sind schweizerischen Ursprungs oder erfüllen mindestens den vom Bund definierten ökologischen Leistungsnachweis (ÖLN) (nicht anwendbar bei Ausschreibungen, die unter internationale Abkommen fallen). Bei zusammengesetzten Produkten: Hauptzutaten.', 'Mindestens X% des Gesamtgewichts des Geflügels und mindestens X% des Gesamtgewichts der Eier (Schale und Flüssigkeit) stammen aus Freilandhaltung (Code 0 und 1). 100% entsprechen mindestens den vom Bund definierten Kriterien für den ökologischen Leistungsnachweis (ÖLN) oder gleichwertigen Nachweisen.', 'Mindestens X% des Gesamtgewichts des Pferdefleischs kommen aus BTS- und RAUS-Haltung oder gleichwertigen Haltungen. 100% entsprechen mindestens den vom Bund definierten Kriterien für den ökologischen Leistungsnachweis (ÖLN) oder gleichwertigen Nachweisen.', 'Mindestens X% des Gesamtgewichts von Schweinefleisch und Wurstwaren kommen aus BTS- und RAUSHaltung oder gleichwertigen Haltungsbedingungen. 100% entsprechen mindestens den vom Bund definierten Kriterien für den ökologischen Leistungsnachweis (ÖLN) oder gleichwertigen Nachweisen.']","['ZK', 'ZK', 'TS', nan, 'ZK', 'ZK', 'ZK']"
Fisch im Standard «MSC»,"['Mindestens X% des Gesamtgewichts der Fische aus Wildfang und aus Zucht haben ein Label, das in offiziellen Leitfäden empfohlen wird.', 'Mindestens X% des Gesamtgewichts der Fische und Meeresfrüchte aus Wildfang und X% aus Zucht haben ein Label, das in offiziellen Leitfäden empfohlen wird.']","['ZK', 'ZK']"
3 Hauptmahlzeiten pro Woche vegetarisch,['Mindestens 1 Tag in der Woche ist 100% vegetarisch (gesamtes Tagesangebot).'],['TS']
"Für Kinder die vegetarisch oder kein Schweinefleisch essen wird jeden Tag eine Ei-
weisskomponente auf vegetarischer Basis angeboten.",['Mindestens ein vegetarisches oder veganes Gericht pro Mahlzeit wird angeboten.'],['TS']
"Ausgewogenheit und kindergerecht innerhalb der Menüs: Die Produktion folgt einer 
Ernährungsphilosophie auf Basis einer aktuellen wissenschaftlicher Grundlage. 
Geben Sie Ihre Philosophie an","['Die Mehrheit der Gerichte entspricht folgender Aufteilung: 2/5 Gemüse, 2/5 stärkehaltige und 1/5 eiweisshaltige Lebensmittel.']",['TS']
"Die massgeblichen Anforderungen sind in Form von Angaben zum Unternehmen, zu den verlangten 

Eignungskriterien samt Bestätigungen, Referenzen und Darstellung der Einhaltung der 

Schweizerischen Tierschutzstandards sowie der Prinzipien der ökologischen Nachhaltigkeit bei 

Produktion und Transport (Beilage 1) und im Eingabeformular Preis (Beilage 2) aufgeführt.","['Der Gastronomiepartner und/oder das Küchenpersonal des Betriebs müssen die notwendigen Kompetenzen und Erfahrungen in jedem dieser Bereiche haben, falls zutreffend/anwendbar:\n-\tPlanung von nachhaltigen Menüs und Umsetzung eines hauptsächlich pflanzlichen, abwechslungsreichen Angebots.\n-\tBeschaffung von saisonalen Produkten aus nachhaltiger Produktionsweise, und von nicht bedrohten Arten.\n-\tVorbeugung und Reduktion von Lebensmittelverschwendung.\n-\tVorbeugung anderer Abfälle, Mülltrennung und -wiederverwertung wenn möglich.\n-\tMessung von Umweltindikatoren mit dem Ziel, sich ständig zu verbessern.\n-\tReduktion des Wasser- und Energieverbrauchs bei Geräten und im Betrieb.\n-\tAngemessener Gebrauch von Reinigungsmitteln.\n-\tAbfallkonzept und Monitoring mit geeigneter Dokumentation.\n-\tUmweltbewusstes Fahren des Lieferpersonals.\n-\tStetige Weiterbildung des Personals zum Thema Umweltaspekte.\n-\t(Stetige) Weiterbildung des Personals zum Thema ausgewogenes Kochen.']",['TS']
Nachhaltigkeit,"['Der Gastronomiepartner und/oder das Küchenpersonal des Betriebs müssen die notwendigen Kompetenzen und Erfahrungen in jedem dieser Bereiche haben, falls zutreffend/anwendbar:\n-\tPlanung von nachhaltigen Menüs und Umsetzung eines hauptsächlich pflanzlichen, abwechslungsreichen Angebots.\n-\tBeschaffung von saisonalen Produkten aus nachhaltiger Produktionsweise, und von nicht bedrohten Arten.\n-\tVorbeugung und Reduktion von Lebensmittelverschwendung.\n-\tVorbeugung anderer Abfälle, Mülltrennung und -wiederverwertung wenn möglich.\n-\tMessung von Umweltindikatoren mit dem Ziel, sich ständig zu verbessern.\n-\tReduktion des Wasser- und Energieverbrauchs bei Geräten und im Betrieb.\n-\tAngemessener Gebrauch von Reinigungsmitteln.\n-\tAbfallkonzept und Monitoring mit geeigneter Dokumentation.\n-\tUmweltbewusstes Fahren des Lieferpersonals.\n-\tStetige Weiterbildung des Personals zum Thema Umweltaspekte.\n-\t(Stetige) Weiterbildung des Personals zum Thema ausgewogenes Kochen.']",['TS']
"Der Anbieter verpflichten sich, die Standards gemäss Kernabkommen der ILO (International Labour 

Organization), die geltenden Arbeitsschutzbestimmungen sowie die Bedingungen der 

Gesamtarbeitsverträge, der Normalarbeitsverträge oder bei deren Fehlen die branchenüblichen 

Vorschriften einzuhalten, die an den Orten gelten, wo die Arbeiten ausgeführt werden.","['Der Lieferant füllt eine Erklärung aus, mit der er die Einhaltung der 8 Kernkonventionen der Internationalen Arbeitsorganisation (ILO) für Leistungen im Ausland und die Einhaltung der Bestimmungen über Arbeitnehmerschutz und gleicher Lohn in der Schweiz sicherstellt.', 'Das Unterschreiben einer Selbstdeklaration durch den Anbieter (inkl. Subunternehmen bzw. Zulieferbetrieben) soll auf jeden Fall verlangt werden. ']","['TB', nan]"
"C Nachhaltigkeit   
 

C.1 Beurteilung / Zertifikat 50 Punkte    
         

  Total Nachhaltigkeit  50 Punkte 5%","['Der Gastronomiepartner und/oder das Küchenpersonal des Betriebs müssen die notwendigen Kompetenzen und Erfahrungen in jedem dieser Bereiche haben, falls zutreffend/anwendbar:\n-\tPlanung von nachhaltigen Menüs und Umsetzung eines hauptsächlich pflanzlichen, abwechslungsreichen Angebots.\n-\tBeschaffung von saisonalen Produkten aus nachhaltiger Produktionsweise, und von nicht bedrohten Arten.\n-\tVorbeugung und Reduktion von Lebensmittelverschwendung.\n-\tVorbeugung anderer Abfälle, Mülltrennung und -wiederverwertung wenn möglich.\n-\tMessung von Umweltindikatoren mit dem Ziel, sich ständig zu verbessern.\n-\tReduktion des Wasser- und Energieverbrauchs bei Geräten und im Betrieb.\n-\tAngemessener Gebrauch von Reinigungsmitteln.\n-\tAbfallkonzept und Monitoring mit geeigneter Dokumentation.\n-\tUmweltbewusstes Fahren des Lieferpersonals.\n-\tStetige Weiterbildung des Personals zum Thema Umweltaspekte.\n-\t(Stetige) Weiterbildung des Personals zum Thema ausgewogenes Kochen.']",['TS']
"Alle Kinder erhalten eine ausgewogene, abwechslungsreiche, altersgemässe und warme Mahlzeit.","['Die Mehrheit der Gerichte entspricht folgender Aufteilung: 2/5 Gemüse, 2/5 stärkehaltige und 1/5 eiweisshaltige Lebensmittel.', 'Die Eiweissquellen sind vielfältig und entsprechen den von der Schweizerischen Gesellschaft für Ernährung vorgegebenen Mengen.']","['TS', 'TS']"
"Altersgerechtes Angebot für Kinder im Alter von ein bis zwölf Jahren mit attrakti-
ven Menüs","['Die Eiweissquellen sind vielfältig und entsprechen den von der Schweizerischen Gesellschaft für Ernährung vorgegebenen Mengen.', 'Die Mehrheit der Gerichte entspricht folgender Aufteilung: 2/5 Gemüse, 2/5 stärkehaltige und 1/5 eiweisshaltige Lebensmittel.']","['TS', 'TS']"
"Bericht einer Ernährungsfachperson bezüglich Nährwert und Menüplanung (maximal 

eine A4-Seite)",['Die verwendeten Fette haben einen guten Nährwert (wie zum Beispiel Raps- und Olivenöl) und entsprechen den von der Schweizerischen Gesellschaft für Ernährung vorgegebenen Mengen.'],['TS']
Vegetarische Komponenten,"['100% der vegetarischen und veganen Gerichte sind klar als solche gekennzeichnet, und zwar auf eine leicht\nerkennbare und attraktive Weise.']",['TS']
Regionale und saisonale Produkte,"['Mindestens X% des Gesamtgewichtes aller landwirtschaftlichen Rohstoffe sind schweizerischen Ursprungs oder erfüllen mindestens den vom Bund definierten ökologischen Leistungsnachweis (ÖLN) (nicht anwendbar bei Ausschreibungen, die unter internationale Abkommen fallen). Bei zusammengesetzten Produkten: Hauptzutaten.', 'Mindestens 70% des Gesamtgewichts der frischen Obst- und Gemüseeinkäufe entsprechen einem offiziellen Saisonkalender.']","[nan, 'TS']"
Minimierung von Foodwaste,"['Während mindestens zwei aufeinanderfolgenden Wochen pro Jahr werden alle Lebensmittelabfälle durch einen internen Prozess und/oder externe Zusammenarbeit gemessen und identifiziert. Die Resultate sowie die Daten werden aufgeschlüsselt nach Produktkategorie, vermeidbar/unvermeidbar und nach Ursache (z.B. Überproduktion, Tellerrückläufe, etc.) dem Auftraggeber zur Verfügung gestellt. Die Resultate müssen ins Verhältnis gesetzt werden zur eingekauften Menge Lebensmittel oder Anzahl ausgegebener Menüs. Basierend auf den Resultaten werden klare Reduktionsziele gesetzt und im Folgejahr überprüft.']",['ZK']
Nachhaltige Verpackung / Gebinde,"['Mindestens X% des Gesamtgewichtes der Produkte werden lose in wiederverwendbaren Behältern geliefert, zum Beispiel in IFCO-Kisten.']",['ZK']
Allergiker- Report im Webshop,"['Die Konsumenten werden direkt mittels einer passenden Anzeige informiert (z.B.: Menütafeln, Piktogramme auf den Speisekarten), um gemäss LIV Anhang 6 die 14 möglichen Allergene erkennen zu können.']",['TS']
"Umweltgerechte Fahrzeuge mit tie-
fem Treibstoffverbrauch sind im Einsatz.","['Wann immer möglich, alternative Transportmittel wie z. B. Elektro- oder Hybridfahrzeuge verwenden.']",['ZK']
"Kitas und Tagesschulen nehmen Kinder ab Geburt bis 16 Jahren auf; aus allen sozialen Schichten, mit unterschiedlichster Herkunft, Kultur und Religion.",[None],[None]
Die Implementierung des Reglements «Gesunde Ernährung an den Bieler Betreuungsstrukturen» hat seinen Ursprung in einer städtischen Volksinitiative.,[None],[None]
Die Qualität soll über die Einführung der «Kalten Linie Biel» gewährleistet werden.,[None],[None]
Mittels einer zentralen Produktion werden reglementkonform die Mittagsmahlzeiten wie auch zum Teil die Zwischenmahlzeiten produziert.,[None],[None]
"Die Standorte werden so eingerichtet, dass die Menüs mittels Steamer effizient und schonend regeneriert werden können.",[None],[None]
"Je nach Entscheid kann es sein, dass die 5 Standorte, die aktuell über eine eigene Produktionsküche verfügen, als Übergangslösung weiterhin für sich selbst kochen.",[None],[None]
Eine Zusammenarbeit mit weiteren Partnern ist in der Offerte offen zu legen.,[None],[None]
Sie produzieren warm zu servierende Speisen zu 70% mittels «Cook and chill».,[None],[None]
"Die anderen 30% verteilen sich auf Produktionsarten wie «Schockfrosten», «Sous-vide», «hot fill» oder Weiteres.",[None],[None]
Sie liefern die nötige Anzahl Menüs pro Tag.,[None],[None]
Die Kühlkette muss gewährleistet sein; die Qualität der Nahrung darf sich durch den Transport nicht vermindern.,[None],[None]
Sie achten auf sparsamen Einsatz von Zucker und Salz.,[None],[None]
"Als Mittagessen bieten Sie ein Hauptgericht bestehend aus: Eiweisskomponente, Stärkebeilage, Gemüse und/oder Salat.",[None],[None]
Für Kinder mit Allergien kochen Sie spezielle Mahlzeiten.,[None],[None]
Die Produktion folgt einer Ernährungsphilosophie auf Basis einer aktuellen wissenschaftlicher Grundlage.,[None],[None]
Die Jury wird aufgrund eines Rankings die Punkte vergeben.,[None],[None]
Der durchschnittliche Preis soll sich auf ein Jahr beziehen und die genannten Qualitätsanforderungen berücksichtigen.,[None],[None]
"Die Standorte verfügen über eine festgelegte Infrastruktur, die eine effiziente Lieferung ermöglicht.",[None],[None]
Die Ausschreibung erfolgt nach dem offenen Verfahren gemäss Verordnung über das öffentliche Beschaffungswesen (ÖBV).,[None],[None]
Eine jährliche Überprüfung der Qualität wird gemäss Reglement vorgeschrieben.,[None],[None]
Die Ausschreibungsunterlagen bilden in ihrer Gesamtheit die Grundlage für die Evaluation des Vertragspartners.,[None],[None]
Das vorliegende Pflichtenheft stellt dabei das Grunddokument der Ausschreibungsunterlagen dar.,[None],[None]
"Die Justizvollzugsanstalt Lenzburg betreibt eine eigene Küche, die die Mahlzeiten für die Insassen zubereitet.",[None],[None]
Die benötigten Lebensmittel müssen teilweise extern eingekauft werden.,[None],[None]
"Der laufende Vertrag endet per 31. Dezember 2022, weshalb die Leistung neu ausgeschrieben wird.",[None],[None]
"Die Anlieferung der bestellten Ware erfolgt innert 3 Tagen, spätestens aber innert Wochenfrist.",[None],[None]
"Die Lieferzeiten sind Montag bis Freitag, jeweils von 07:30 bis 10:30 Uhr und von 13:30 bis 15:00 Uhr.",[None],[None]
Mangelhafte Waren hat der Anbieter umgehend zu ersetzen.,[None],[None]
Die Vergabestelle garantiert kein Auftragsvolumen für die Fleischwaren-Lieferungen.,[None],[None]
Die Evaluation erfolgt durch Mitarbeitende des Amts für Justizvollzug und weitere Mitarbeitende des Kantons Aargau.,[None],[None]
"Fehlende Angaben führen dazu, dass die Offerte nicht berücksichtigt wird.",[None],[None]
Die Offerten werden nach festgelegten Zuschlagskriterien bewertet.,[None],[None]
"Die Bewertung erfolgt anhand der Kriterien Preis, Qualität, Nachhaltigkeit und Referenzen.",[None],[None]
"Der Anbieter verpflichtet sich, die geltenden Arbeitsschutzbestimmungen einzuhalten.",[None],[None]
"Die gelieferten Lebensmittel müssen in guter, handelsüblicher Qualität sein.",[None],[None]
Die Offerte ist in deutscher Sprache einzureichen.,[None],[None]
"Die Vergabestelle behält sich das Recht vor, die Submission abzubrechen oder nur teilweise zu realisieren.",[None],[None]
"Der Anbieter haftet für Schäden, die durch seine Hilfspersonen oder Subunternehmer verursacht werden.",[None],[None]
Die Ausschreibung erfolgt nach den Bestimmungen der Interkantonalen Vereinbarung über das öffentliche Beschaffungswesen.,[None],[None]
Die Mittagsverpflegung wird für drei schulergänzende Betreuungseinrichtungen und zwei Kindertagesstätten bereitgestellt.,[None],[None]
Der Auftrag umfasst die Kaltanlieferung der Mahlzeiten mit anschließender Regeneration vor Ort.,[None],[None]
"Die gelieferten Speisen sollen altersgerecht, abwechslungsreich und ernährungswissenschaftlich fundiert sein.",[None],[None]
Die Lieferung erfolgt an bis zu fünf Standorte von Montag bis Freitag.,[None],[None]
Der Vertrag tritt ab dem 1. Juni 2023 für eine Dauer von drei Jahren in Kraft.,[None],[None]
Die Option zur Verlängerung des Vertrags um zweimal ein Jahr besteht.,[None],[None]
Die Verpflegung wird während 38 Schulwochen an Betreuungseinrichtungen geliefert.,[None],[None]
Für die Kindertagesstätten erfolgt die Lieferung während 48 Wochen im Jahr.,[None],[None]
"Der Anbieter hat sicherzustellen, dass die Kühlkette während des Transports eingehalten wird.",[None],[None]
Umweltgerechte Fahrzeuge mit niedrigem Treibstoffverbrauch sind zu verwenden.,[None],[None]
Die Angebotsplanung muss saisonale und regionale Produkte berücksichtigen.,[None],[None]
Ein jährliches Controlling stellt die Einhaltung der Qualitätsvorgaben sicher.,[None],[None]
Bei mangelhafter Vertragserfüllung behält sich die Vergabestelle das Recht zur außerordentlichen Kündigung vor.,[None],[None]
Die Vergabe erfolgt an den Anbieter mit der höchsten Punktzahl gemäß Zuschlagskriterien.,[None],[None]
Die Offertenöffnung ist nicht öffentlich und wird protokolliert.,[None],[None]
Fragen zur Ausschreibung sind schriftlich über die Plattform bis zum Stichtag einzureichen.,[None],[None]
